State Name,x,y
Andhra Pradesh,-115.0,-225.0
Arunachal Pradesh,298.0,182.0
Assam,296.0,136.0
Bihar,82.0,89.0
Chhattisgarh,-23.0,-54.0
Goa,-263.0,-239.0
Gujarat,-340.0,2.0
Haryana,-191.0,201.0
Himachal Pradesh,-163.0,278.0
Jharkhand,62.0,27.0
Karnataka,-213.0,-262.0
Kerala,-187.0,-397.0
Madhya Pradesh,-133.0,16.0
Maharashtra,-209.0,-96.0
Manipur,317.0,80.0
Meghalaya,234.0,95.0
Mizoram,290.0,34.0
Nagaland,339.0,125.0
Odisha,46.0,-79.0
Punjab,-217.0,250.0
Rajasthan,-261.0,117.0
Sikkim,-325,-266
Tamil Nadu,-210.0,-278.0
Telangana,-118.0,-147.0
Tripura,258.0,43.0
Uttar Pradesh,-49.0,101.0
Uttarakhand,-110.0,230.0
West Bengal,149.0,21.0
